ID,Tên công việc,Mô tả,ID lĩnh vực,Loại công việc,Loại lương,Yêu cầu
3048,Làm 01 video giới thiệu công ty ngắn + 01 video giới thiệu dịch vụ,"<p>Cần đối t&aacute;c x&acirc;y dựng 2 video:</p>

<p>- 01 video giới thiệu nhanh c&ocirc;ng ty (30s)</p>

<p>+ Dựa tr&ecirc;n mong muốn v&agrave; c&aacute;c nội dung doanh nghiệp muốn triển khai để l&ecirc;n idea</p>

<p>+ Quay chụp th&ecirc;m nguy&ecirc;n liệu cho video</p>

<p>+ Dựng v&agrave; trả video ho&agrave;n chỉnh độ ph&acirc;n giải 2K trở l&ecirc;n</p>

<p>- 01 video giới thiệu dịch vụ (60s)</p>

<p>+ Cần trao đổi off để hiểu r&otilde; chức năng của sản phẩm (phần mềm quản l&yacute; kho h&agrave;ng)</p>

<p>+ Dựng animation để kh&aacute;ch h&agrave;ng hiểu được chức năng sản phẩm</p>

<p>+ Độ ph&acirc;n giải 2K trở l&ecirc;n</p>
",1035,1,1,"<p>C&oacute; kinh nghiệm l&agrave;m dự &aacute;n tương tự</p>
"
3049,Xử lý khôi phục tài khoản bán hàng thương mại điện tử,"<p>Li&ecirc;n hệ đội ngũ chăm s&oacute;c kh&aacute;ch h&agrave;ng để xử l&yacute; kh&ocirc;i phục t&agrave;i khoản bản h&agrave;ng online</p>
",1035,1,1,"<p>+ C&oacute; m&aacute;y t&iacute;nh, laptop</p>

<p>+ Bi&ecirc;t tiếng anh giao tiếp để thực hiện live chat hoặc call support</p>
"
3050,Dịch hợp đồng kinh tế từ tiếng Việt ra tiếng Anh,"<p>Cần tuyển một bạn c&oacute; kinh nghiệm dịch thuật để dịch hợp đồng kinh tế từ tiếng Việt ra tiếng Anh.</p>
",1038,2,1,"<p>Y&ecirc;u cầu c&oacute; bằng đại học chuy&ecirc;n ng&agrave;nh tiếng Anh hoặc chứng chỉ tiếng Anh TOEFL, IELTS, TOEIC, CEFR...</p>
"
3051,Chụp ảnh món ăn nhà hàng ,"<p>Chụp h&igrave;nh 35 m&oacute;n ăn, mỗi m&oacute;n 2 g&oacute;c kh&aacute;c nhau</p>

<p>Chụp cận cảnh, y&ecirc;u cầu sắc n&eacute;t, m&agrave;u l&agrave;m m&oacute;n ăn hấp dẫn để l&agrave;m menu</p>
",1035,1,2,"<p>Nhiếp ảnh &iacute;t nhất 3 năm</p>
"
3052,LÀM VIỆC CHO WEBSITE LIKE SUB CÁC DỊCH VỤ MẠNG,"<p>Li&ecirc;n hệ để biết nội dung</p>
",1035,2,1,"<p>kh&ocirc;ng y&ecirc;u cầu kinh nghiệm thu nhập dựa tr&ecirc;n lượng sản phẩm b&aacute;n ra k&egrave;m theo hoa hồng</p>
"
3053,Unity Developer Needed for Game Fixes,"<p>I own a game currently running on Unity version 2017, and I need a Unity game developer to help me with the following tasks:</p>

<p>- Upgrade the project to Unity version 2020</p>

<p>- Fix issues with Ads not displaying</p>

<p>- Fix issues with Facebook login permissions not being granted</p>

<p>- Fix compatibility issues with external packages integrated into the project</p>
",1030,2,1,"<p>The project uses Spine 2D, so a developer with experience in Spine 2D is required.</p>
"
3054,Code bot Telegram ,"<p>T&ocirc;i muốn 1 con bot telegram th&ocirc;ng b&aacute;o cho t&ocirc;i giao dịch mới từ 1 địa chỉ v&iacute; tr&ecirc;n solscan.io</p>

<p>V&iacute; dụ : V&iacute; A chuyển 10 sol tới v&iacute; B, ngay lập tức bot telegram th&ocirc;ng b&aacute;o cho t&ocirc;i địa chỉ v&iacute; B đ&oacute; v&agrave; cho ph&eacute;p t&ocirc;i click v&agrave;o địa chỉ v&iacute; để copy lu&ocirc;n</p>

<p>V&agrave; t&ocirc;i muốn tự sửa được v&iacute; A v&agrave; số tiền chuyển</p>
",1030,1,2,"<p>Kinh nghiệm 2 năm</p>
"
3055,"Xây dựng kênh thương hiệu: Facebook fanpage, Insta, Pinterest","<p>&nbsp;- l&ecirc;n kế hoạch x&acirc;y dựng c&aacute;c k&ecirc;nh: fanpage, instagram, pinterest với đối tượng người xem l&agrave; kh&aacute;ch nước ngo&agrave;i (cụ thể UK)</p>

<p>- thực hiện kế hoạch đề ra</p>

<p>- b&aacute;o c&aacute;o về c&aacute;c th&ocirc;ng số kết quả khi x&acirc;y dựng k&ecirc;nh</p>
",3,2,1,"<p>hai năm kinh nghiệm với lĩnh vực tương đương</p>
"
3056,Nhân Viên Content Facebook thú cưng,"<p>Cần 1 bạn viết content đăng Facebook. Số lượng khoảng 15 b&agrave;i viết/th&aacute;ng c&oacute; chỉnh ảnh. Spam c&aacute;c group tr&ecirc;n group li&ecirc;n quan đến th&uacute; cưng</p>
",1038,2,1,"<p>Kh&ocirc;ng y&ecirc;u cầu kinh nghiệm</p>
"
3057,Quảng cáo google cho lớp học làm bánh,"<p>The flour cần tuyển 1 bạn c&oacute; kinh nghiệm gg ads hỗ trợ quảng c&aacute;o lớp học l&agrave;m b&aacute;nh</p>
",1034,1,2,"<p>một năm kinh nghiệm</p>
"
3058,Chạy VPS quốc tế tăng giờ xem youtube,"<p>Hiện tại b&ecirc;n m&igrave;nh đang c&oacute; dự &aacute;n quốc tế mảng Youtube , cần chạy 8000 giờ xem trong 10 ng&agrave;y.</p>
",1035,2,1,"<p>- Am hiểu chạy VPS quốc tế (ưu ti&ecirc;n VPS Us, Uk, Trung đ&ocirc;ng)</p>

<p>- Am hiểu thuật to&aacute;n của Youtube, Google</p>

<p>- Share link, viết b&agrave;i</p>

<p>- Seeding tiếng anh (c&oacute; thể d&ugrave;ng AI để seeding nhưng phải giống người thật)</p>

<p>Bạn n&agrave;o thấy thực lực của m&igrave;nh đủ y&ecirc;u cầu th&igrave; nhắn tin trực tiếp cho m&igrave;nh. Cảm ơn!</p>
"
3059,Thiết kế theo văn bản có sẵn,"<p>M&igrave;nh sẽ đưa mẫu cho c&aacute;c bạn chỉ cần l&agrave;m như mẫu l&agrave; được</p>
",1038,2,1,"<p>ch&iacute;nh x&aacute;c v&agrave; chỉnh chu</p>
"
3060,Nhân Viên Content Marketing Remote – Admin bóng đá,"<p>&bull; X&acirc;y dựng, quản l&yacute; nội dung tr&ecirc;n Fanpage, Telegram, Tiktok, Youtube của c&ocirc;ng ty (bao gồm chữ v&agrave; h&igrave;nh ảnh) theo định hướng c&oacute; sẵn</p>

<p>&bull; Tham gia c&ugrave;ng team x&acirc;y dựng v&agrave; quản l&yacute; c&aacute;c chiến dịch Marketing, đ&oacute;ng g&oacute;p c&aacute;c &yacute; tưởng nội dung s&aacute;ng tạo cho chiến dịch Digital Marketing.</p>

<p>&bull; Ưu ti&ecirc;n ứng vi&ecirc;n đ&atilde; c&oacute; kinh nghiệm l&agrave;m admin c&aacute;c page b&oacute;ng đ&aacute; lớn</p>
",1034,2,1,"<p>&bull; C&oacute; kỹ năng viết b&agrave;i quảng c&aacute;o, quản l&yacute; cộng đồng.</p>

<p>&bull; Sử dụng th&agrave;nh thạo vi t&iacute;nh văn ph&ograve;ng.</p>

<p>&bull; Đ&atilde; c&oacute; kinh nghiệm x&acirc;y dựng hoặc quản trị page, Telegram channel từ 1 năm, với c&aacute;c vị tr&iacute; tương đương: Content Viral, Content Creator</p>

<p>&bull; Tiếng Anh đọc hiểu cơ bản</p>

<p>&bull; C&oacute; khả năng tổng hợp th&ocirc;ng tin từ nhiều nguồn kh&aacute;c nhau.</p>

<p>&bull; C&oacute; khả năng thiết kế cơ bản l&agrave; lợi thế</p>
"
4041,Dự án demo 3,"<p>Lập tr&igrave;nh web</p>
",1,1,1,"<p>Y&ecirc;u cầu si&ecirc;ng năng chăm chỉ</p>
"
4042,App android & ios kiểm kê kho hàng ,"<p>- Chức năng tối thiểu:</p>

<p>+ Kiểm so&aacute;t số lượng h&agrave;ng nhập/xuất</p>

<p>+ B&aacute;o c&aacute;o theo ng&agrave;y, tuần, th&aacute;ng, qu&yacute;, năm</p>

<p>+ Quản l&yacute; chi nh&aacute;nh, nh&acirc;n vi&ecirc;n</p>

<p>+ Chat nội bộ nh&oacute;m, c&aacute; nh&acirc;n</p>

<p>+ Giao việc cho nh&acirc;n vi&ecirc;n</p>
",1030,2,1,"<p>c&oacute; 2 năm kinh nghiệm</p>
"
4043,Cần viết app lại đã có mã nguồn mở,"<p>Cần viết app ios v&agrave; android lại đ&atilde; c&oacute; m&atilde; nguồn mở. Mọi chi tiết li&ecirc;n hệ. Cảm ơn c&aacute;c bạn đ&atilde; xem tin.</p>
",1030,2,1,"<p>tốt nghiệm CNTT</p>
"
4044,"Tạo nội dung, chạy quảng cáo facebook","<p>Đọc v&agrave; hiểu c&aacute;c g&oacute;i dịch vụ của c&ocirc;ng ty để phục vụ cho việc tạo content, chạy campaign facebook ads, google ads.</p>
",3,2,1,"<p>kh&ocirc;ng y&ecirc;u cầu kinh nghiệm</p>
"
4045,FREELANCER FACEBOOK ADS,"<p>- Thiết lập, triển khai v&agrave; quản l&yacute; c&aacute;c chiến dịch Quảng c&aacute;o tr&ecirc;n Facebook để th&uacute;c đẩy nhận diện thương hiệu, mức độ tương t&aacute;c v&agrave; chuyển đổi.</p>

<p>- Theo d&otilde;i v&agrave; ph&acirc;n t&iacute;ch hiệu suất chiến dịch, cung cấp b&aacute;o c&aacute;o chi tiết v&agrave; th&ocirc;ng tin chuy&ecirc;n s&acirc;u để tối ưu h&oacute;a v&agrave; cải thiện kết quả.</p>

<p>- Ph&acirc;n bổ v&agrave; quản l&yacute; ng&acirc;n s&aacute;ch quảng c&aacute;o hiệu quả để đảm bảo ROI tốt nhất cho mỗi chiến dịch.</p>

<p>- L&agrave;m việc chặt chẽ với nh&oacute;m s&aacute;ng tạo để ph&aacute;t triển c&aacute;c quảng c&aacute;o hấp dẫn v&agrave; nội dung thu h&uacute;t được đối tượng mục ti&ecirc;u</p>

<p>- Sử dụng c&aacute;c c&ocirc;ng cụ v&agrave; nền tảng ph&acirc;n t&iacute;ch để theo d&otilde;i số liệu hiệu suất v&agrave; đưa ra quyết định dựa tr&ecirc;n dữ liệu</p>

<p>- Lu&ocirc;n nắm bắt c&aacute;c xu hướng mới nhất, c&aacute;c phương ph&aacute;p hay nhất v&a",3,1,2,"<p>- C&oacute; kinh nghiệm l&agrave;m việc tối thiểu 1 năm cho vị tr&iacute; tương đương. Từng triển khai ng&acirc;n s&aacute;ch quảng c&aacute;o lớn.</p>

<p>- C&oacute; kinh nghiệm triển khai thị trường Global : US, UK, EU...l&agrave; lợi thế</p>

<p>- Tiếng Anh th&agrave;nh thạo đạt điểm IELTS tr&ecirc;n 6.0 hoặc tương đương.</p>

<p>- Đ&atilde; trực tiếp chi ti&ecirc;u ng&acirc;n s&aacute;ch marketing lớn v&agrave; mang về doanh thu cho c&ocirc;ng ty (chuẩn bị sẵn case study trong CV xin việc).</p>

<p>- Nhạy b&eacute;n với xu hướng thị trường, xu hướng marketing, ứng dụng c&ocirc;ng nghệ-AI.</p>

<p>- C&oacute; kỹ năng chuy&ecirc;n m&ocirc;n vững chắc, bao gồm sự quen thuộc với Meta Ads Manager, c&aacute;c c&ocirc;ng cụ ph&acirc;n t&iacute;ch v&agrave; chiến lược nhắm mục ti&ecirc;u đối tượng.</p>

<p>- Ph&acirc;n t&iacute;ch dữ liệu: Hiểu v&agrave; kiểm so&aacute;t được c&aacute;c chỉ số quan trọng trong chiến dịch quảng c&aacute;o.</p>

<p>- Tư duy cầu tiến v&agrave; ham học hỏi, mong muốn bứt ph&aacu"
4046,Copy mẫu Poster thành file,"<p>Copy 1 mẫu poster từ file JPG sang PTS hoặc AI file.</p>

<p>H&igrave;nh c&oacute; sẵn, chỉ cần design sao cho giống y hệt l&agrave; được</p>
",1035,1,2,"<p>Biết sử dụng c&aacute;c c&ocirc;ng cụ photoshop</p>
"
4047,POD DESIGNER,"<p>- Thiết kế dạng new design, re-design (ko clone) c&aacute;c sản phẩm POD như: canvas, blanket, tumbler, ornament, stone, flag, ceramic,... theo &yacute; tưởng c&oacute; sẵn.</p>

<p>- Sửa mẫu theo y&ecirc;u cầu của Idea để tạo th&agrave;nh sản phẩm ho&agrave;n chỉnh.</p>

<p>- L&agrave;m việc th&ocirc;ng qua phần mềm Larksuit.</p>

<p>&nbsp;</p>
",1035,2,1,"<p>- C&oacute; &iacute;t nhất 1 năm kinh nghiệm ở mảng POD.</p>

<p>- Th&agrave;nh thạo Adobe Photoshop (bắt buộc).</p>

<p>- Kỹ năng vẽ cơ bản.</p>

<p>- Thẩm mỹ v&agrave; khả năng s&aacute;ng tạo tốt.</p>

<p>- C&oacute; thể nhận v&agrave; fix mẫu linh hoạt trong giờ h&agrave;nh ch&iacute;nh.</p>
"
4048,"Freelancer quay phim, dựng phim cho video 3ph","<p>M&igrave;nh cần quay phim ph&oacute;ng sự c&ocirc;ng ty v&agrave; dựng, chất lượng 4K, thời lượng 3ph bao gồm sources clip đ&atilde; mua sẵn. Scope:</p>

<p>1. Quay phim theo kịch bản c&oacute; sẵn. C&oacute; thể trao đổi kịch bản qua tin nhắn với m&igrave;nh. Quay tại Q. B&igrave;nh Thạnh, quay khoảng 3 tiếng</p>

<p>2. Dựng phim, l&agrave;m animation, transition theo đ&uacute;ng kịch bản</p>

<p>3. Biết team lồng tiếng, kết hợp lồng tiếng v&agrave; l&agrave;m sub</p>

<p>4. C&oacute; kinh nghiệm l&agrave;m video cho c&ocirc;ng ty. Th&ocirc;ng minh th&aacute;o v&aacute;t, flexible. D&ugrave;ng after effect, premier, c&oacute; thể thiết kế những element bổ sung cho clip m&igrave;nh dựng</p>

<p>&nbsp;</p>
",1035,1,2,"<p>1 năm kinh nghiệm</p>
"
4049,Dựng Video Bằng Capcut,"<p>- Nhận kịch bản, dựng clip theo order (clip dưới 1 phút).</p>

<p>- Dựng từ 50 - 100 video/tháng (tùy tháng).</p>

<p>&nbsp;</p>
",1035,1,2,"<p>kh&ocirc;ng y&ecirc;u cầu kinh nghiệm</p>
"
4050,Content marketing,"<p>content tr&ecirc;n đa nền tảng:</p>

<p>+ Blog cho Website</p>

<p>+ B&agrave;i post fanpage</p>

<p>+ Kịch bản video ngắn</p>

<p>+ Thư ngỏ dạng như 1 b&agrave;i b&aacute;n h&agrave;ng xuất sắc</p>

<p>&nbsp;</p>
",1038,1,2,"<p>c&oacute; kinh nghiệm lĩnh vực tương tự</p>
"
4051,Content writer cho cộng đồng người chơi POKER,"<p>- L&agrave;m việc với team Planning để đưa ra &yacute; tưởng v&agrave; triển khai &yacute; tưởng cho c&aacute;c chiến dịch dựa tr&ecirc;n kế hoạch của kh&aacute;ch h&agrave;ng (Insights, key message, tagline, content pillar, article outline, demo post, community topic&hellip;);</p>

<p>- Chịu tr&aacute;ch nhiệm lập kế hoạch nội dung tr&ecirc;n đa k&ecirc;nh để x&acirc;y dựng đề xuất ph&ugrave; hợp với y&ecirc;u cầu của kh&aacute;ch h&agrave;ng.</p>

<p>60% EXECUTION:</p>

<p>- Phụ tr&aacute;ch thực hiện to&agrave;n bộ nội dung cho c&aacute;c dự &aacute;n bao gồm branding, promotion... S&aacute;ng tạo v&agrave; sản xuất nội dung mạng x&atilde; hội cho tất cả c&aacute;c k&ecirc;nh như: Facebook, Tiktok, Landing Page</p>

<p>- L&agrave;m việc với team để điều chỉnh nội dung v&agrave; cấu tr&uacute;c b&agrave;i viết theo feedback của kh&aacute;ch h&agrave;ng.</p>

<p>- L&agrave;m việc tốt với team Thiết Kế đảm bảo h&igrave;nh ảnh s&aacute;ng tạo ph&ugrave; hợp với nội dung.</p>

<p>- Ph&acirc;n t&iacute;ch &a",1038,2,1,"<p>kh&ocirc;ng y&ecirc;u kinh nghiệm</p>
"
4052,Chụp Ảnh Áo Dài Tại Hoàng Thành,"<p>H&agrave; Nội</p>

<p>- cần t&igrave;m từ 1</p>

<p>- 2 nh&aacute;y chụp ảnh &aacute;o d&agrave;i nh&acirc;n dịp 8/3 tại Ho&agrave;ng Th&agrave;nh, c&oacute; chỉnh sửa ảnh sau khi chụp. Bạn n&agrave;o nhận được th&igrave; li&ecirc;n hệ nh&eacute; ạ.</p>
",1035,1,2,"<p>Thợ chụp tr&ecirc;n 2 năm kinh nghiệm</p>
"
4053,Quay phim,"<p>T&igrave;m 01 người quay phim c&oacute; sẵn thiết bị (camera, gimbal, ch&acirc;n m&aacute;y)</p>

<p>- Thời gian: 1 ng&agrave;y (trong th&aacute;ng 1, sắp xếp theo lịch của freelancer)</p>

<p>- Địa điểm: T&acirc;y Ninh (c&oacute; xe đưa đ&oacute;n tại Ph&uacute; Nhuận - HCM)</p>

<p>- Nội dung: quay nh&agrave; xưởng trong khu c&ocirc;ng nghiệp</p>
",1035,1,2,"<p>T&igrave;m người tay nghề cao</p>
"
4054,Tìm một bài viết bài SEO tầm 1000 - 1500 từ - tháng khoảng 50 bài ,"<p>- M&igrave;nh cần t&igrave;m một b&agrave;i viết b&agrave;i SEO v&agrave; cung cấp cho m&igrave;nh gi&aacute; tốt nh&eacute;</p>

<p>- Trung b&igrave;nh một th&aacute;ng khoảng 50 b&agrave;i SEO (Keyword plan b&ecirc;n m&igrave;nh sẽ gửi, m&igrave;nh chỉ viết onpage từ 1000-1500 từ, ảnh tải tr&ecirc;n mạng hoặc c&oacute; kh&aacute;ch b&ecirc;n m&igrave;nh cung cấp source th&igrave; c&aacute;c ban chỉ cần lấy ảnh đ&oacute; gắn logo v&agrave;o v&agrave; tải l&ecirc;n b&agrave;i th&ocirc;i).</p>

<p>- Với số lượng tối thiểu 50 b&agrave;i/th&aacute;ng n&ecirc;n m&igrave;nh cần bạn cung cấp gi&aacute; tốt</p>
",1038,2,1,"<p>Tốt nghiệm đại học</p>
"
4055,Viết kịch bản video thể hiện sứ mệnh của công ty,"<p>B&ecirc;n m&igrave;nh đang cần viết kịch bản thể hiện sứ mệnh của c&ocirc;ng ty nh&acirc;n kỉ niệm 10 năm, truyền cảm hứng, lan tỏa tới kh&aacute;ch h&agrave;ng.</p>

<p>Th&igrave; b&ecirc;n m&igrave;nh muốn thu&ecirc; kịch bản trước, bạn b&aacute;o gi&aacute; gi&uacute;p m&igrave;nh nh&eacute;, vid dưới 2 ph&uacute;t.</p>
",3,1,2,"<p>Kh&ocirc;ng y&ecirc;u cầu kinh nghiệm</p>
"
4056,Thiết kế video nền cho sản phẩm xổ số truyền thống & hiện đại,"<p>Thiết kế theo phong c&aacute;ch người d&ugrave;ng trực quan, trải nghiệm theo thời gian thực, s&aacute;ng/trưa/tối.</p>

<p>Hướng hiện đại, tinh tế, chuy&ecirc;n nghiệp, theo m&ocirc; tả ri&ecirc;ng cho ng&agrave;nh xổ số &amp; chung cho ng&agrave;nh t&agrave;i ch&iacute;nh</p>

<p>Hướng người chơi /mua v&eacute; số theo dạng t&agrave;i lộc, cầu may, số đỏ.</p>

<p>Video dạng nền ch&igrave;m, mờ, lồng tr&ecirc;n web, style , color theo định nghĩa m&ocirc; tả.</p>

<p>Dự kiến c&oacute; 01 video ch&iacute;nh cho nền site chủ, 2-3 video phụ cho c&aacute;c nền site con.</p>

<p>Thời gian kh&ocirc;ng gấp</p>

<p>Chi ph&iacute; vừa phải (gia c&ocirc;ng lại cho 3rd)</p>
",1035,1,2,"<p>kh&ocirc;ng qu&aacute; cầu kỳ, đơn giản, hiệu quả.</p>
"
4057,"Cần làm video về phong thủy, quay phim người thật review sản phẩm","<p>video tựa như thế n&agrave;y</p>

<p>https://drive.google.com/file/d/1pQMrkHumXMjtBwMAgJ84VjhZtWyMAxru/view</p>

<p>C&oacute; 1 người giới thiệu v&agrave; review như video</p>
",1035,1,2,"<p>Thiết kế đẹp mắt</p>
"
4058,Làm video amination động vật ( con bò ) trên Lottiefiles,"<p>Cần l&agrave;m video amination động vật ( con b&ograve; ) tr&ecirc;n Lottiefiles</p>

<p>Video M&ocirc; tả c&aacute;c chuyển động của b&ograve; khi được cho ăn, uống, tắm</p>

<p>Xuất video ra định dạng json tương th&iacute;ch Lottiefiles</p>
",1035,1,2,"<p>Kh&ocirc;ng y&ecirc;u cầu kinh nghiệm</p>
"
4059,"Thiết kế logo, nhận diện thương hiệu cho 1 doanh nghiệp software development ","<p>Thiết kế logo, bộ nhận diện thương hiệu cho 1 doanh nghiệp software development. Nếu c&oacute; thể th&igrave; cả website</p>
",1035,1,2,"<p>c&oacute; mắt thẩm mỹ</p>
"
4060,Chạy Quảng cáo Facebook cho tour trải nghiệm,"<p>1. Nghi&ecirc;n cứu hiện tại fanpage v&agrave; c&aacute;c sản phẩm định hướng chạy quảng c&aacute;o.2</p>

<p>2. Lập phương &aacute;n chạy quảng c&aacute;o ph&ugrave; hợp v&agrave; đ&uacute;ng đối tượng kh&aacute;ch h&agrave;ng y&ecirc;u cầu.</p>

<p>3. Đề xuất c&agrave;i đặt mẫu chạy c&aacute;c c&aacute;c g&oacute;i sản phẩm v&agrave; định hướng dịch vụ kh&aacute;c nhau.</p>
",3,1,2,"<p>c&oacute; khả năng nghi&ecirc;n cứu</p>
"
4061,Tuyển người hỗ trợ set up email marketting - lĩnh vực du lịch Việt Nam,"<p>M&igrave;nh cần t&igrave;m 1 bạn biết về design, UX,UI v&agrave; Mailchimp để thiết kế c&aacute;c email campaign cho mảng B2B.</p>

<p>C&ocirc;ng việc:</p>

<p>- Thiết kế template cho c&aacute;c email trong chiến dịch</p>

<p>- Design h&igrave;nh ảnh trang tr&iacute; cho email</p>

<p>Thời gian l&agrave;m việc linh hoạt</p>

<p>Mức lương: thỏa thuận.</p>
",3,2,1,"<p>c&oacute; khả năng thiết kế</p>
"
4062,"Làm video dự thi ""An toàn giao thông""","<p>Cần l&agrave;m 1 đoạn video ngắn tối đa 5 ph&uacute;t về chủ đề an to&agrave;n giao th&ocirc;ng.</p>

<p>Cần &yacute; tưởng mới lạ, video ho&agrave;n chỉnh, sau đ&oacute; sẽ c&oacute; học sinh lồng tiếng.</p>
",1035,1,2,"<p>C&oacute; sử dụng zalo&nbsp;</p>
"
4063,Vd ngắn giới thiệu về núi tượng homestay,"<p>l&agrave;m vd khoảng 4 5p giới thiệu về n&uacute;i tượng homestay, đ&atilde; c&oacute; vd quay sẵn chỉ cần dựng v&agrave; chỉnh sửa v&agrave; gh&eacute;p void v&agrave;o</p>
",1034,1,2,"<p>Kh&ocirc;ng y&ecirc;u cầu kinh nghiệm</p>
"
4064,Tiktok filter,"<p>T&ocirc;i cần x&acirc;y dựng 1 ứng dụng quay video như tiktok, chỉ phần quay video</p>
",1030,1,2,"<p>C&oacute; thể x&acirc;y linh hoạt được c&aacute;c filter, filter được đặt tr&ecirc;n server</p>
"
4065,Cần tìm người làm App kiểu Chùa Online,"<p>Bạn c&oacute; thể cung cấp dịch vụ n&agrave;y?&nbsp;<a href=""https://www.vlance.vn/a/1728265/edit#service-can-provide"">Th&ecirc;m v&agrave;o hồ sơ l&agrave;m việc</a>.</p>

<p>Xin ch&agrave;o mọi người.</p>

<p>M&igrave;nh đang cần t&igrave;m người Viết cho m&igrave;nh ứng dụng Ch&ugrave;a Online v&agrave; n&oacute; cần chạy tr&ecirc;n cả hai nền tảng Android v&agrave; IOS.</p>

<p>M&igrave;nh c&oacute; thể tham khảo c&aacute;ch l&agrave;m của ứng dụng sau:</p>

<p>https://play.google.com/store/apps/details?id=com.mandir</p>

<p>&Yacute; tưởng l&agrave; nơi d&agrave;nh cho Phật tử kiểu daily praying app trao đổi kinh nghiệm học phật c&uacute;ng dường etc.</p>

<p>Chi tiết b&agrave;n sau.</p>
",1030,1,2,"<p>C&oacute; 2 năm kinh nghiệm trở l&ecirc;n</p>
"
4066,Tuyển Team sản xuất video cho kênh TikTok của nhãn hàng thời trang đường phố Việt,"<p>Nh&atilde;n h&agrave;ng thời trang chuy&ecirc;n b&aacute;n h&agrave;ng tại Shopee, TikTok, c&oacute; văn ph&ograve;ng tại TPHCM. Ch&uacute;ng t&ocirc;i cần team sản xuất nội dung dạng video ngắn cho k&ecirc;nh TikTok nh&atilde;n h&agrave;ng mục ti&ecirc;u để kh&aacute;ch h&agrave;ng hiểu về sản phẩm v&agrave; tăng khả năng tương t&aacute;c mua h&agrave;ng của kh&aacute;ch h&agrave;ng.</p>

<p>X&acirc;y dựng kế hoạch nội dung:</p>

<p>_ Lập kế hoạch chi tiết cho nội dung tr&ecirc;n k&ecirc;nh TikTok của nh&atilde;n h&agrave;ng.</p>

<p>_ X&aacute;c định c&aacute;c chủ đề, xu hướng, v&agrave; th&ocirc;ng điệp cần truyền tải qua video.</p>

<p>_ Đề xuất lịch ph&aacute;t s&oacute;ng, thời gian tối ưu để tương t&aacute;c với kh&aacute;n giả.</p>

<p>Sản xuất nội dung:</p>

<p>_ Tạo video ngắn tr&ecirc;n nền nhạc, sử dụng hiệu ứng v&agrave; t&iacute;nh năng của TikTok.</p>

<p>_ Sử dụng trang phục thời trang đường phố của nh&atilde;n h&agrave;ng để tạo n&ecirc;n những video hấp dẫn.</p>

<p>_ Ch&uacute; trọng đ",1035,2,1,"<p>_ Kinh nghiệm l&agrave;m việc với TikTok hoặc c&aacute;c nền tảng tương tự.</p>

<p>_ Hiểu biết về thời trang đường phố v&agrave; xu hướng thời trang.</p>
"
4067,Tạo nhân vật hoạt hình cho công ty dọn dẹp vệ sinh,"<p>Giới thiệu chung</p>

<p>C&ocirc;ng ty: Dust Killer , dọn dẹp nh&agrave; cửa, dọn dẹp văn ph&ograve;ng, chung cư</p>

<p>về nh&acirc;n vật: nh&acirc;n vật dễ thương, lấy &yacute; tưởng con b&ograve;. m&agrave;u chủ đạo l&agrave; m&agrave;u v&agrave;ng</p>

<p>video theo dạng n&agrave;y: https://www.youtube.com/@MoominOfficial</p>

<p>Khai th&aacute;c kh&aacute;ch h&agrave;ng qua c&acirc;u truyện hoạt h&igrave;nh</p>

<p>M&ocirc; tả c&ocirc;ng việc:</p>

<p>Tạo nh&acirc;n vật hoạt h&igrave;nh cho c&ocirc;ng ty dọn dẹp vệ sinh</p>

<p>Sử dụng c&ocirc;ng nghệ AI để viết kịch bản s&aacute;ng tạo cho video TikTok.</p>

<p>Sản xuất v&agrave; chỉnh sửa 30 videos TikTok</p>

<p>X&acirc;y dựng c&acirc;u chuyện giả tưởng ho&agrave;n to&agrave;n. V&iacute; dụ: Bối cảnh l&agrave; 1 th&agrave;nh phố y&ecirc;n b&igrave;nh nhưng bỗng 1 ng&agrave;y bị người ngo&agrave;i h&agrave;nh tinh tấn c&ocirc;ng (qu&acirc;n đội vi khuẩn). Dust Killer từ 1 cậu b&eacute; b&igrave;nh thường (nh&acirc;n vật con b&ograve;) đ&atilde; đi ",1035,1,2,"<p>- h&igrave;nh ảnh c&aacute;c nh&acirc;n vật phải đồng bộ, giống nhau xuy&ecirc;n suốt c&aacute;c videos</p>

<p>- c&oacute; giọng n&oacute;i tiếng anh</p>

<p>- nhạc, &acirc;m thanh background nếu cần</p>

<p>- sub tiếng anh (d&ugrave;ng google hoặc AI translate)</p>

<p>Quyền lợi: thỏa thuận</p>
"
4068,Thuyết Minh Truyện Tranh ,"<p>Thuyết minh Manga</p>

<p>Tr&igrave;nh b&agrave;y manga v&agrave; gắn thuyết minh cho từng h&igrave;nh,</p>

<p>Đ&oacute;ng g&oacute;i v&agrave; gửi lại cho b&ecirc;n m&igrave;nh theo y&ecirc;u cầu</p>
",1036,2,1,"<p>Đ&atilde; từng l&agrave;m c&ocirc;ng việc tương tự</p>
"
4069,Dịch và chỉnh sửa nội dung canva anh-việt,"<p>Dịch nội dung flie canva từ tiếng anh - việt .&nbsp;</p>
",1038,2,1,"<p>Y&ecirc;u cầu tiếng anh expert để dịch chuẩn ngữ nghĩa</p>
"
